fields	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40
gvar	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_2	group_2	group_2	group_2	group_2	group_2	group_3	group_3	group_3	group_3	group_3	group_3	group_3	group_4	group_4	group_4	group_4	group_4	group_4	group_4	group_4
Desulfovibrio_vulgaris	3.14558541497113e-05	8.17333494256357e-05	0	0	3.80791170911441e-05	2.86185344942192e-05	3.87925746093538e-05	4.7349617311717e-05	0	2.53467632611429e-05	3.98571914390561e-05	0	3.1816890594542e-05	5.26412602909299e-05	0.000113337042832944	3.59480249757726e-05	3.55629781540897e-05	4.36399260736214e-05	0	2.56657631530842e-05	2.04457795119269e-05	2.96677316100264e-05	5.36860509588547e-05	0	4.23742500649933e-05	4.6955971957345e-05	3.94167397471739e-05	7.72854809322039e-05	5.67276182890394e-05	3.05058093013541e-05	2.56588010968267e-05	6.17131048239492e-05	2.42710950403999e-05	1.35623916592821e-05	2.4184396342356e-05	9.0380849724963e-06	4.62786940297842e-05	2.58307605494237e-05	2.61137678959734e-05	0
Azoarcus_sp._BH72	0	0	0	0	0	0	0	4.9311898703741e-05	5.79610790267089e-05	0	0	0.000111936314755308	0	0	0	0	0	0	0	0	0	0	0	0	3.25533875327583e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiomonas_intermedia	0	0	0	0	0	0	0	0	0	0	3.28732291469087e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94540364024338e-05	0	0	0	0	0	0	0	0
Pseudomonas_putida	0	6.50587402960215e-05	6.14816610185317e-05	4.84560600966578e-05	4.87346343177879e-05	3.80814658673055e-05	0.000103305967945725	9.14366607288771e-05	5.8454801822176e-05	5.57174892591644e-05	8.10401033382709e-05	5.44361128822362e-05	4.45757058817958e-05	9.56348499318677e-05	9.31850909145939e-05	3.50083322416753e-05	7.95508028429108e-05	5.95515706045147e-05	3.48784916873675e-05	7.6216656385388e-05	1.94207388229903e-05	2.59345014369995e-05	2.92662337396721e-05	6.22048269656862e-05	5.00793546262722e-05	0.000108066023145301	4.06655409536488e-05	2.20552292570654e-05	5.64413650536331e-05	7.08525619733436e-05	2.56673275165067e-05	2.55866523921114e-05	7.47784807578535e-06	2.36226974219622e-05	2.83102558073455e-05	1.92761870447592e-05	1.49058520982475e-05	9.72689766402707e-06	3.42081073761201e-05	9.755175156969e-06
Thauera_sp._MZ1T	0	2.9442463291235e-05	0	0	0	3.83274595897816e-05	0	0	0	0	0	0	0	8.79216534052313e-05	4.15849695879947e-05	0	0	0	0	0	2.18980145024038e-05	0	4.95503481392023e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella_sp._ANA-3	0	0	0	4.27121026303043e-05	5.55944666347349e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_petrii	0.00013717995479958	0.000123967488998386	0.000130101800485664	0.000128542571660431	0.000449196199236432	0.0005205275214728	0.00012845036849998	0.000147103396650986	0.000230931014241478	0.000137048246839309	0.00514494938172304	0.000149489857162135	0.000125776946792831	0.000165513150311077	0.00238847243396343	0.000126837679136701	0.000129345786238781	0.000135312824655524	0.00438273966011514	2.03968157696634e-05	0	0	2.2625652165822e-05	0	0	3.83861298701825e-05	0	0.000540257706266456	2.11567214029814e-05	1.95687825945568e-05	0	3.18023143656756e-05	0	0	0	0	0	0	2.03005585785632e-05	0
Salmonella_enterica	0.0798914801448673	0.0395530637065114	0.03949432639052	0.044921727198335	0.0870290315214491	0.0771509641167492	0.043129975067106	0.0338303226666732	0.0387042057570499	0.04193880786394	0.100567272308556	0.0921867468532977	0.0371556377876225	0.0839443168819867	0.0316678987398967	0.072221439860701	0.089287478151498	0.118429612389791	0.0466313997145777	0.0339537459503803	0.0775246345527002	0.0134959355211807	0.0153305542152931	0.0745827261490214	0.0466254716025946	0.104173389993288	0.0357208781403791	0.0429243890733876	0.0342869410107306	0.0263852215921481	0.0547823248558836	0.0667939789525557	0.0209389935707854	0.00291096626061051	0.0115768252007389	0.0202631466633341	0.0241431987772958	0.0217581212440863	0.0358937706453242	0.0177961910391569
Staphylococcus_epidermidis	0.000198740581744322	5.83317276656948e-05	0.000126615964363955	9.09705466409002e-05	4.36634485826037e-05	0.000149334600903522	0.000273841025339473	0.000358552840735219	0.000240843893221199	0.000134206588393088	0.000112798713822432	5.95209697309003e-05	0.000177852658038376	8.85602034903962e-05	0.000156311922430654	0.000219222142484552	9.06821746828458e-05	0.000312956029734882	8.29381464314522e-05	4.15300928045435e-05	5.89894142595153e-05	4.90230189438174e-05	0.000176868304009356	8.82454591822453e-05	8.18273620151913e-05	0.000286163290176756	5.44226661859816e-05	7.97721813572393e-05	0.000211933046094201	0.000136222846247159	0.000163273930865976	8.09933460905533e-05	6.03394522423866e-06	7.84858866943222e-05	1.56792317408097e-05	2.29497988344315e-05	2.96956282043394e-05	2.9132362510136e-05	4.80764122005927e-05	9.1821199368786e-05
Fusobacterium_nucleatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.30428249012895e-05	0	3.0969386806616e-05	0	0	0	0	0	0	0	0	2.94157852212618e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas_citri	0	3.14942679743601e-05	0	0	2.39900006654713e-05	0	0	0	0	2.225078364248e-05	6.42506028165382e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24516589736843e-05	0	0	0	0	2.45235547080743e-05	0	1.31600989274812e-05	0	0	0	0	0	0
Campylobacter_jejuni	0	0	0	0	0	0	0	0	0	0	0	2.4077718301397e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17025443032871e-05	0	1.64611876419416e-05	0	7.87924707735642e-06	0	0	0	1.05729902456001e-05	0	0	0
Vibrio_vulnificus	0	0	0	0	0	0	0	0	0	2.00571123461419e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
